index,freq_hz,real,imag
         76,1781.25,         -1,         -1
         77,1804.69,         -1,          0
         78,1828.12,         -1,         -1
         79,1851.56,         -1,         -1
         80,1875.00,         -1,         -1
         81,1898.44,         -1,         -1
         82,1921.88,         -1,         -1
         83,1945.31,         -1,         -1
         84,1968.75,         -1,         -1
         85,1992.19,         -1,         -1
         86,2015.62,         -1,         -1
         87,2039.06,         -1,         -1
         88,2062.50,         -2,         -1
         89,2085.94,         -1,         -1
         90,2109.38,         -1,          0
         91,2132.81,         -1,          0
         92,2156.25,         -1,         -1
         93,2179.69,         -1,         -1
         94,2203.12,         -1,          0
         95,2226.56,         -1,          0
         96,2250.00,          0,          0
         97,2273.44,         -1,          0
         98,2296.88,         -1,         -1
         99,2320.31,         -1,         -1
        100,2343.75,         -1,         -1
        101,2367.19,         -1,         -1
        102,2390.62,         -1,         -1
        103,2414.06,         -2,         -1
        104,2437.50,         -2,         -1
        105,2460.94,         -2,         -1
        106,2484.38,         -2,         -1
        107,2507.81,         -1,         -1
        108,2531.25,         -2,         -1
        109,2554.69,         -1,         -1
        110,2578.12,         -2,         -1
        111,2601.56,         -1,         -1
        112,2625.00,         -1,         -1
        113,2648.44,         -2,         -1
        114,2671.88,         -2,         -1
        115,2695.31,         -2,         -1
        116,2718.75,         -2,         -1
        117,2742.19,         -1,         -1
        118,2765.62,         -2,         -1
        119,2789.06,         -1,         -1
        120,2812.50,         -1,         -1
        121,2835.94,         -2,         -1
        122,2859.38,         -1,         -1
        123,2882.81,         -1,         -1
        124,2906.25,         -1,         -2
        125,2929.69,         -2,         -1
        126,2953.12,         -2,         -1
        127,2976.56,         -2,         -1
        128,3000.00,         -1,          0
        129,3023.44,          0,          0
        130,3046.88,         -1,         -1
        131,3070.31,         -1,         -1
        132,3093.75,          0,          0
        133,3117.19,          0,          0
        134,3140.62,         -1,         -1
        135,3164.06,          0,          0
        136,3187.50,         -1,          0
        137,3210.94,         -1,         -1
        138,3234.38,         -1,          0
        139,3257.81,          0,          0
        140,3281.25,          0,          0
        141,3304.69,          0,          0
        142,3328.12,         -1,         -1
        143,3351.56,          0,          0
        144,3375.00,         -1,          0
        145,3398.44,         -1,         -1
        146,3421.88,         -1,         -1
        147,3445.31,         -1,          0
        148,3468.75,         -1,         -1
        149,3492.19,         -1,         -1
        150,3515.62,         -1,         -1
        151,3539.06,         -1,         -1
        152,3562.50,         -1,         -1
        153,3585.94,         -1,          0
        154,3609.38,         -1,         -1
        155,3632.81,         -1,         -1
        156,3656.25,         -1,         -1
        157,3679.69,         -1,          0
        158,3703.12,         -1,         -1
        159,3726.56,         -1,         -1
        160,3750.00,          0,          0
        161,3773.44,          0,          0
        162,3796.88,         -1,          0
        163,3820.31,         -1,          0
        164,3843.75,         -1,         -1
        165,3867.19,         -1,         -1
        166,3890.62,         -1,          0
        167,3914.06,         -1,         -1
        168,3937.50,         -1,         -1
        169,3960.94,         -1,         -1
        170,3984.38,         -1,          0
        171,4007.81,         -1,          0
        172,4031.25,         -1,         -1
        173,4054.69,         -1,         -1
        174,4078.12,         -1,         -1
        175,4101.56,         -1,         -1
        176,4125.00,         -2,         -1
        177,4148.44,         -1,          0
        178,4171.88,         -1,         -1
        179,4195.31,         -1,          0
        180,4218.75,         -1,         -1
        181,4242.19,         -1,         -1
        182,4265.62,         -1,          0
        183,4289.06,         -1,         -1
        184,4312.50,         -1,         -1
        185,4335.94,         -1,         -1
        186,4359.38,         -1,         -1
        187,4382.81,         -1,         -1
        188,4406.25,         -1,         -1
        189,4429.69,         -1,         -1
        190,4453.12,         -2,         -1
        191,4476.56,         -1,         -1
        192,4500.00,         -1,          0
        193,4523.44,          0,          0
        194,4546.88,         -1,          0
        195,4570.31,         -1,          0
        196,4593.75,          0,          0
        197,4617.19,          0,          0
        198,4640.62,          0,          0
        199,4664.06,          0,          0
        200,4687.50,          0,          0
        201,4710.94,          0,          0
        202,4734.38,         -1,          0
        203,4757.81,          0,          0
        204,4781.25,         -1,          0
        205,4804.69,          0,          0
        206,4828.12,         -1,         -1
        207,4851.56,          0,         -1
        208,4875.00,         -1,         -1
        209,4898.44,         -1,         -1
        210,4921.88,         -1,          0
        211,4945.31,         -1,          0
        212,4968.75,         -1,         -1
        213,4992.19,         -1,         -1
        214,5015.62,         -1,         -1
        215,5039.06,         -1,         -1
        216,5062.50,         -2,         -1
        217,5085.94,         -1,          0
